gml_id,ust_katego,alt_katego,ad,geojson
bursa_sanayinoktalari.174,SANAYİ,FABRİKALAR,ARTI,"{""type"":""Point"",""coordinates"":[28.926442092,40.244331476]}"
bursa_sanayinoktalari.175,SANAYİ,FABRİKALAR,CORNAGLİA,"{""type"":""Point"",""coordinates"":[28.929917247,40.241994225]}"
bursa_sanayinoktalari.176,SANAYİ,FABRİKALAR,B-TEK METAL,"{""type"":""Point"",""coordinates"":[28.931434356,40.243296725]}"
bursa_sanayinoktalari.177,SANAYİ,FABRİKALAR,DEMO PLASTİK,"{""type"":""Point"",""coordinates"":[28.928676389,40.24643425]}"
bursa_sanayinoktalari.178,SANAYİ,FABRİKALAR,UPK,"{""type"":""Point"",""coordinates"":[28.931509142,40.24701631]}"
bursa_sanayinoktalari.179,SANAYİ,FABRİKALAR,AUTONEUM ERKURT,"{""type"":""Point"",""coordinates"":[28.932935304,40.240387949]}"
bursa_sanayinoktalari.180,SANAYİ,FABRİKALAR,KARSAN,"{""type"":""Point"",""coordinates"":[28.931182892,40.23114825]}"
bursa_sanayinoktalari.181,SANAYİ,FABRİKALAR,İNOVA-PAK,"{""type"":""Point"",""coordinates"":[28.934232272,40.2428591]}"
bursa_sanayinoktalari.182,SANAYİ,FABRİKALAR,JKT,"{""type"":""Point"",""coordinates"":[28.933539321,40.244241785]}"
bursa_sanayinoktalari.183,SANAYİ,FABRİKALAR,COŞKUNÖZ METAL FORM,"{""type"":""Point"",""coordinates"":[28.93498399,40.233976757]}"
bursa_sanayinoktalari.184,SANAYİ,FABRİKALAR,ERİNCİK LASER METAL,"{""type"":""Point"",""coordinates"":[28.928074964,40.239388747]}"
bursa_sanayinoktalari.185,SANAYİ,FABRİKALAR,GÜVENDİK KAUÇUK,"{""type"":""Point"",""coordinates"":[28.936107493,40.242673107]}"
